WellID,Row,Column,Field,ID,Line,Treatment,TreatmentConcentration,RealSet,CLASS,PATH_Crop_Nuc
K11,11,11,1,1,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\1.tif
K11,11,11,1,3,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\3.tif
K11,11,11,1,4,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\4.tif
K11,11,11,1,5,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\5.tif
K11,11,11,1,6,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\6.tif
K11,11,11,1,7,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\7.tif
K11,11,11,1,8,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\8.tif
K11,11,11,1,9,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\9.tif
K11,11,11,1,10,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\10.tif
K11,11,11,1,11,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\11.tif
K11,11,11,1,12,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\12.tif
K11,11,11,1,13,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\13.tif
K11,11,11,1,14,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\14.tif
K11,11,11,1,16,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\16.tif
K11,11,11,1,18,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\18.tif
K11,11,11,1,19,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\19.tif
K11,11,11,1,20,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\20.tif
K11,11,11,1,21,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\21.tif
K11,11,11,1,22,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\22.tif
K11,11,11,1,23,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\23.tif
K11,11,11,1,24,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\24.tif
K11,11,11,1,25,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\25.tif
K11,11,11,1,26,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\26.tif
K11,11,11,1,27,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\27.tif
K11,11,11,1,28,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\28.tif
K11,11,11,1,29,HL1,Untreated,0,train,HEALTHY,Example\IMAGES\CROPS\011011001\29.tif
